,day,윤석열
0,5월 3주차,52.1
1,5월 4주차,54.1
2,6월 1주차,52.1
3,6월 2주차,48.0
4,6월 3주차,48.0
5,6월 4주차,46.6
6,6월 5주차,44.4
7,7월 1주차,37.0
8,7월 2주차,33.4
9,7월 3주차,33.3
10,7월 4주차,33.1
