,day,윤석열,이재명,안철수,심상정
0,22년 1월 1주차,34.1,40.1,11.1,2.8
1,22년 1월 2주차,40.6,36.7,12.9,2.0
2,22년 1월 3주차,42.0,36.8,10.0,2.5
3,22년 1월 4주차,40.2,38.5,10.3,2.4
4,22년 2월 1주차,43.4,38.1,7.5,2.5
5,22년 2월 2주차,41.6,39.1,7.7,2.8
6,22년 2월 3주차,42.9,38.7,8.3,3.2
7,22년 2월 4주차,41.9,40.5,6.8,2.6
